story_id,story_jira_id
SR_ID_001,UP2P-12
SR_ID_002,UP2P-13
SR_ID_003,UP2P-14
SR_ID_004,UL-105
SR_ID_005,UL-197
SR_ID_006,UL-56
SR_ID_007,UL-235
SR_ID_008,UL-103
SR_ID_009,UL-52
SR_ID_010,UL-61
SR_ID_011,UL-502
SR_ID_012,UL-609
SR_ID_013,UL-532
SR_ID_014,UL-544
SR_ID_015,UL-479
SR_ID_016,UL-317
SR_ID_017,UL-413
SR_ID_018,UL-685
SR_ID_019,UL-74
SR_ID_020,UL-123
SR_ID_021,UL-211
SR_ID_022,UL-456
SR_ID_023,UL-543
SR_ID_024,UL-545
SR_ID_025,UL-809
SR_ID_026,UL-1346
SR_ID_027,UL-497
SR_ID_028,UL-899
SR_ID_029,UL-81
SR_ID_030,UL-1446
SR_ID_031,UL-1926
SR_ID_032,UL-1629
SR_ID_033,UL-1578
SR_ID_034,UL-28
SR_ID_035,UL-1301
SR_ID_036,UL-1631
