test_id,test_jira_id
TC_ID_0001,UP2P-255
TC_ID_0009,UL-380
TC_ID_0010,UL-382
TC_ID_0011,UL-385
TC_ID_0012,UL-386
TC_ID_0013,UL-388
TC_ID_0014,UL-389
TC_ID_0015,UP2P-259
TC_ID_0016,UL-391
TC_ID_0017,UL-359
TC_ID_0018,UL-361
TC_ID_0019,UL-365
TC_ID_0020,UL-368
TC_ID_0021,UL-370
TC_ID_0022,UL-373
TC_ID_0023,UL-374
TC_ID_0025,UL-482
TC_ID_0026,UL-483
TC_ID_0027,UL-484
TC_ID_0028,UL-668
TC_ID_0031,UL-387
TC_ID_0032,UL-392
TC_ID_0033,UL-393
TC_ID_0034,UL-394
TC_ID_0035,UL-396
TC_ID_0036,UL-341
TC_ID_0037,UL-342
TC_ID_0038,UL-343
TC_ID_0039,UL-344
TC_ID_0040,UL-346
TC_ID_0041,UL-348
TC_ID_0042,UL-349
TC_ID_0043,UL-351
TC_ID_0044,UL-352
TC_ID_0045,UL-353
TC_ID_0046,UL-354
TC_ID_0048,UL-322
TC_ID_0049,UL-323
TC_ID_0050,UL-324
TC_ID_0051,UL-325
TC_ID_0052,UL-326
TC_ID_0053,UL-327
TC_ID_0054,UL-328
TC_ID_0055,UL-329
TC_ID_0056,UL-596
TC_ID_0024,UL-335
TC_ID_0057,UL-336
TC_ID_0058,UL-337
TC_ID_0059,UL-338
TC_ID_0060,UL-339
TC_ID_0061,UL-340
TC_ID_0062,UL-345
TC_ID_0063,UL-347
TC_ID_0064,UL-350
TC_ID_0065,UL-355
TC_ID_0066,UL-356
TC_ID_0068,UL-489
TC_ID_0069,UL-490
TC_ID_0070,UL-491
TC_ID_0071,UL-492
TC_ID_0072,UL-493
TC_ID_0073,UL-494
TC_ID_0074,UL-495
TC_ID_0075,UL-617
TC_ID_0076,UL-618
TC_ID_0077,UL-619
TC_ID_0078,UL-620
TC_ID_0079,UL-621
TC_ID_0080,UL-622
TC_ID_0081,UL-623
TC_ID_0082,UL-624
TC_ID_0083,UL-625
TC_ID_0084,UL-626
TC_ID_0085,UL-627
TC_ID_0086,UL-629
TC_ID_0087,UL-631
TC_ID_0088,UL-628
TC_ID_0089,UL-630
TC_ID_0090,UL-331
TC_ID_0091,UL-332
TC_ID_0092,UL-333
TC_ID_0093,UL-334
TC_ID_0094,UL-751
TC_ID_0095,UL-752
TC_ID_0096,UL-753
TC_ID_0097,UL-754
TC_ID_0100,UL-779
TC_ID_0101,UL-780
TC_ID_0102,UL-781
TC_ID_0103,UL-782
TC_ID_0104,UL-783
TC_ID_0105,UL-784
TC_ID_0106,UL-785
TC_ID_0107,UL-786
TC_ID_0108,UL-787
TC_ID_0109,UL-802
TC_ID_0110,UL-803
TC_ID_0111,UL-812
TC_ID_0112,UL-813
TC_ID_0113,UL-814
TC_ID_0114,UL-748
TC_ID_0115,UL-1007
TC_ID_0116,UL-1008
TC_ID_0117,UL-1009
TC_ID_0118,UL-1010
TC_ID_0119,UL-1011
TC_ID_0120,UL-1012
TC_ID_0135,UL-1016
TC_ID_0136,UL-1017
TC_ID_0137,UL-1039
TC_ID_0138,UL-1041
TC_ID_0139,UL-1042
TC_ID_0140,UL-1043
TC_ID_0141,UL-1044
TC_ID_0142,UL-1056
TC_ID_0143,UL-1057
TC_ID_0144,UL-1068
TC_ID_0145,UL-1069
TC_ID_0146,UL-1046
TC_ID_0147,UL-1047
TC_ID_0148,UL-1048
TC_ID_0149,UL-1192
TC_ID_0150,UL-1193
TC_ID_0151,UL-1194
TC_ID_0152,UL-1195
TC_ID_0153,UL-1196
TC_ID_0154,UL-1197
TC_ID_0155,UL-1198
TC_ID_0156,UL-1199
TC_ID_0157,UL-1200
TC_ID_0121,UL-2030
TC_ID_0122,UL-2031
TC_ID_0158,UL-1208
TC_ID_0159,UL-1209
TC_ID_0160,UL-1210
TC_ID_0161,UL-1211
TC_ID_0162,UL-1212
TC_ID_0163,UL-1213
TC_ID_0164,UL-1214
TC_ID_0165,UL-1215
TC_ID_0166,UL-1216
TC_ID_0167,UL-1217
TC_ID_0168,UL-1219
TC_ID_0169,UL-1220
TC_ID_0170,UL-1221
TC_ID_0171,UL-1222
TC_ID_0172,UL-1223
TC_ID_0173,UL-1224
TC_ID_0174,UL-1201
TC_ID_0175,UL-1202
TC_ID_0176,UL-1203
TC_ID_0177,UL-1204
TC_ID_0178,UL-1205
TC_ID_0179,UL-1593
TC_ID_0180,UL-1636
TC_ID_0181,UL-1638
TC_ID_0182,UL-1603
TC_ID_0183,UL-1604
TC_ID_0184,UL-1617
TC_ID_0185,UL-1618
TC_ID_0186,UL-1425
TC_ID_0187,UL-1426
TC_ID_0188,UL-1427
TC_ID_0189,UL-1419
TC_ID_0190,UL-1422
TC_ID_0191,UL-1996
TC_ID_0192,UL-1936
TC_ID_0193,UL-1937
TC_ID_0194,UL-1741
TC_ID_0195,UL-1742
TC_ID_0196,UL-1872
TC_ID_0197,UL-1873
TC_ID_0198,UL-1814
TC_ID_0199,UL-1796
TC_ID_0200,UL-1743
TC_ID_0201,UL-1744
